code,prefName,cityName
01,北海道,
01100,北海道,札幌市
01101,北海道,札幌市中央区
01102,北海道,札幌市北区
01103,北海道,札幌市東区
01104,北海道,札幌市白石区
01105,北海道,札幌市豊平区
01106,北海道,札幌市南区
01107,北海道,札幌市西区
01108,北海道,札幌市厚別区
01109,北海道,札幌市手稲区
01110,北海道,札幌市清田区
01202,北海道,函館市
01203,北海道,小樽市
01204,北海道,旭川市
01205,北海道,室蘭市
01206,北海道,釧路市
01207,北海道,帯広市
01208,北海道,北見市
01209,北海道,夕張市
01210,北海道,岩見沢市
01211,北海道,網走市
01212,北海道,留萌市
01213,北海道,苫小牧市
01214,北海道,稚内市
01215,北海道,美唄市
01216,北海道,芦別市
01217,北海道,江別市
01218,北海道,赤平市
01219,北海道,紋別市
01220,北海道,士別市
01221,北海道,名寄市
01222,北海道,三笠市
01223,北海道,根室市
01224,北海道,千歳市
01225,北海道,滝川市
01226,北海道,砂川市
01227,北海道,歌志内市
01228,北海道,深川市
01229,北海道,富良野市
01230,北海道,登別市
01231,北海道,恵庭市
01233,北海道,伊達市
01234,北海道,北広島市
01235,北海道,石狩市
01236,北海道,北斗市
01303,北海道,当別町
01304,北海道,新篠津村
01331,北海道,松前町
01332,北海道,福島町
01333,北海道,知内町
01334,北海道,木古内町
01337,北海道,七飯町
01343,北海道,鹿部町
01345,北海道,森町
01346,北海道,八雲町
01347,北海道,長万部町
01361,北海道,江差町
01362,北海道,上ノ国町
01363,北海道,厚沢部町
01364,北海道,乙部町
01367,北海道,奥尻町
01370,北海道,今金町
01371,北海道,せたな町
01391,北海道,島牧村
01392,北海道,寿都町
01393,北海道,黒松内町
01394,北海道,蘭越町
01395,北海道,ニセコ町
01396,北海道,真狩村
01397,北海道,留寿都村
01398,北海道,喜茂別町
01399,北海道,京極町
01400,北海道,倶知安町
01401,北海道,共和町
01402,北海道,岩内町
01403,北海道,泊村
01404,北海道,神恵内村
01405,北海道,積丹町
01406,北海道,古平町
01407,北海道,仁木町
01408,北海道,余市町
01409,北海道,赤井川村
01423,北海道,南幌町
01424,北海道,奈井江町
01425,北海道,上砂川町
01427,北海道,由仁町
01428,北海道,長沼町
01429,北海道,栗山町
01430,北海道,月形町
01431,北海道,浦臼町
01432,北海道,新十津川町
01433,北海道,妹背牛町
01434,北海道,秩父別町
01436,北海道,雨竜町
01437,北海道,北竜町
01438,北海道,沼田町
01452,北海道,鷹栖町
01453,北海道,東神楽町
01454,北海道,当麻町
01455,北海道,比布町
01456,北海道,愛別町
01457,北海道,上川町
01458,北海道,東川町
01459,北海道,美瑛町
01460,北海道,上富良野町
01461,北海道,中富良野町
01462,北海道,南富良野町
01463,北海道,占冠村
01464,北海道,和寒町
01465,北海道,剣淵町
01468,北海道,下川町
01469,北海道,美深町
01470,北海道,音威子府村
01471,北海道,中川町
01472,北海道,幌加内町
01481,北海道,増毛町
01482,北海道,小平町
01483,北海道,苫前町
01484,北海道,羽幌町
01485,北海道,初山別村
01486,北海道,遠別町
01487,北海道,天塩町
01511,北海道,猿払村
01512,北海道,浜頓別町
01513,北海道,中頓別町
01514,北海道,枝幸町
01516,北海道,豊富町
01517,北海道,礼文町
01518,北海道,利尻町
01519,北海道,利尻富士町
01520,北海道,幌延町
01543,北海道,美幌町
01544,北海道,津別町
01545,北海道,斜里町
01546,北海道,清里町
01547,北海道,小清水町
01549,北海道,訓子府町
01550,北海道,置戸町
01552,北海道,佐呂間町
01555,北海道,遠軽町
01559,北海道,湧別町
01560,北海道,滝上町
01561,北海道,興部町
01562,北海道,西興部村
01563,北海道,雄武町
01564,北海道,大空町
01571,北海道,豊浦町
01575,北海道,壮瞥町
01578,北海道,白老町
01581,北海道,厚真町
01584,北海道,洞爺湖町
01585,北海道,安平町
01586,北海道,むかわ町
01601,北海道,日高町
01602,北海道,平取町
01604,北海道,新冠町
01607,北海道,浦河町
01608,北海道,様似町
01609,北海道,えりも町
01610,北海道,新ひだか町
01631,北海道,音更町
01632,北海道,士幌町
01633,北海道,上士幌町
01634,北海道,鹿追町
01635,北海道,新得町
01636,北海道,清水町
01637,北海道,芽室町
01638,北海道,中札内村
01639,北海道,更別村
01641,北海道,大樹町
01642,北海道,広尾町
01643,北海道,幕別町
01644,北海道,池田町
01645,北海道,豊頃町
01646,北海道,本別町
01647,北海道,足寄町
01648,北海道,陸別町
01649,北海道,浦幌町
01661,北海道,釧路町
01662,北海道,厚岸町
01663,北海道,浜中町
01664,北海道,標茶町
01665,北海道,弟子屈町
01667,北海道,鶴居村
01668,北海道,白糠町
01691,北海道,別海町
01692,北海道,中標津町
01693,北海道,標津町
01694,北海道,羅臼町
01695,北海道,色丹村
01696,北海道,泊村
01697,北海道,留夜別村
01698,北海道,留別村
01699,北海道,紗那村
01700,北海道,蘂取村
02,青森県,
02201,青森県,青森市
02202,青森県,弘前市
02203,青森県,八戸市
02204,青森県,黒石市
02205,青森県,五所川原市
02206,青森県,十和田市
02207,青森県,三沢市
02208,青森県,むつ市
02209,青森県,つがる市
02210,青森県,平川市
02301,青森県,平内町
02303,青森県,今別町
02304,青森県,蓬田村
